;age;geo;sex;isced11;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
0;75 years or over;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);17.3;43.1;39.6;1
1;75 years or over;Austria;Females;Tertiary education (levels 5-8);24.3;33.2;42.5;0
2;75 years or over;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.5;25.3;43.2;0
6;75 years or over;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);67.2;12.4;20.299999999999997;2
7;75 years or over;Austria;Males;Tertiary education (levels 5-8);55.3;5.8;38.9;2
8;75 years or over;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);49.099999999999994;17.2;33.699999999999996;2
12;75 years or over;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);31.8;46.5;21.7;1
13;75 years or over;Belgium;Females;Tertiary education (levels 5-8);39.9;21.1;39.0;2
14;75 years or over;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);46.599999999999994;27.5;26.0;2
18;75 years or over;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);54.599999999999994;30.4;15.0;2
19;75 years or over;Belgium;Males;Tertiary education (levels 5-8);82.4;5.9;11.7;2
20;75 years or over;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);55.6;17.0;27.4;2
24;75 years or over;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);7.7;65.7;26.6;1
25;75 years or over;Bulgaria;Females;Tertiary education (levels 5-8);2.3;73.8;24.0;1
26;75 years or over;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.299999999999999;64.6;27.2;1
30;75 years or over;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);26.5;48.5;25.0;1
31;75 years or over;Bulgaria;Males;Tertiary education (levels 5-8);22.4;47.7;30.0;1
32;75 years or over;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);33.5;28.3;38.2;0
36;75 years or over;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);13.2;73.9;13.0;1
37;75 years or over;Croatia;Females;Tertiary education (levels 5-8);26.700000000000003;63.2;10.1;1
38;75 years or over;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.4;59.9;18.6;1
42;75 years or over;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);34.8;51.0;14.2;1
43;75 years or over;Croatia;Males;Tertiary education (levels 5-8);53.6;27.9;18.5;2
44;75 years or over;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);45.5;31.2;23.4;2
48;75 years or over;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);2.9;86.3;10.8;1
50;75 years or over;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);9.5;72.5;18.1;1
54;75 years or over;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);26.8;47.3;26.0;1
55;75 years or over;Cyprus;Males;Tertiary education (levels 5-8);23.1;44.8;32.199999999999996;1
56;75 years or over;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);38.900000000000006;29.4;31.6;2
60;75 years or over;Czechia;Females;Less than primary, primary and lower secondary education (levels 0-2);13.799999999999999;47.8;38.4;1
61;75 years or over;Czechia;Females;Tertiary education (levels 5-8);21.3;25.2;53.5;0
62;75 years or over;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.3;39.5;46.3;0
66;75 years or over;Czechia;Males;Less than primary, primary and lower secondary education (levels 0-2);38.400000000000006;30.2;31.400000000000002;2
67;75 years or over;Czechia;Males;Tertiary education (levels 5-8);59.4;11.1;29.6;2
68;75 years or over;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);56.6;17.7;25.700000000000003;2
72;75 years or over;Denmark;Females;Less than primary, primary and lower secondary education (levels 0-2);43.5;18.4;38.1;2
73;75 years or over;Denmark;Females;Tertiary education (levels 5-8);56.3;11.4;32.4;2
74;75 years or over;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);51.5;11.1;37.4;2
78;75 years or over;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);59.9;11.6;28.5;2
79;75 years or over;Denmark;Males;Tertiary education (levels 5-8);82.4;6.4;11.3;2
80;75 years or over;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);78.0;5.9;16.1;2
84;75 years or over;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);1.6;69.8;28.6;1
85;75 years or over;Estonia;Females;Tertiary education (levels 5-8);1.8;44.3;54.0;1
86;75 years or over;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.0;49.6;50.4;1
90;75 years or over;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);13.0;29.5;57.400000000000006;0
91;75 years or over;Estonia;Males;Tertiary education (levels 5-8);17.1;21.9;61.0;0
