,age,geo,sex,isced11,Frequent drinkers,Non-drinkers,Occasional drinkers,clusters
0,75 years or over,Austria,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.5304124522615304,0.9586678522159507,0.048330521370228176,0
1,75 years or over,Austria,Females,Tertiary education (levels 5-8),-0.17071483081021516,0.5801710764220316,0.21200912970950012,0
2,75 years or over,Austria,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.1578436304321098,0.22046915107097068,0.2513944946023491,2
6,75 years or over,Austria,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.464854953714025,-0.5745479966434917,-1.067501155602269,1
7,75 years or over,Austria,Males,Tertiary education (levels 5-8),1.0709065008107204,-1.2172654378381698,0.008694027131749665,1
8,75 years or over,Austria,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.8518688087068819,-0.23496282924120684,-0.28743488429049197,1
12,75 years or over,Belgium,Females,"Less than primary, primary and lower secondary education (levels 0-2)",0.17083381036726497,1.0752382645175598,-0.9845934429630576,0
13,75 years or over,Belgium,Females,Tertiary education (levels 5-8),0.5046895315163783,-0.0015338841262776814,0.014359521755828044,1
14,75 years or over,Belgium,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.7603701042957378,0.3272624200579623,-0.7322176735124569,1
18,75 years or over,Belgium,Males,"Less than primary, primary and lower secondary education (levels 0-2)",1.0466993364541168,0.4598264371465584,-1.3853181397033918,1
19,75 years or over,Belgium,Males,Tertiary education (levels 5-8),1.9283777144622176,-1.2048650309703375,-1.5870710571247648,1
20,75 years or over,Belgium,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1.0812425077045391,-0.24781228035292938,-0.6507155097985917,1
24,75 years or over,Bulgaria,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.139331357767611,1.645183372065369,-0.6972506989337143,0
25,75 years or over,Bulgaria,Females,Tertiary education (levels 5-8),-1.6239629616360585,1.8521686464740719,-0.8491990597143898,0
26,75 years or over,Bulgaria,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-1.094836038340203,1.6157837307023986,-0.6623400822009013,0
30,75 years or over,Bulgaria,Males,"Less than primary, primary and lower secondary education (levels 0-2)",-0.06660010828333335,1.1411899889770296,-0.7906248903254917,0
31,75 years or over,Bulgaria,Males,Tertiary education (levels 5-8),-0.2637160164452112,1.1150296716395194,-0.5001326722865651,0
32,75 years or over,Bulgaria,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.24352802892138006,0.36471050284504225,-0.03099409626929852,1
36,75 years or over,Croatia,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-0.7683497484335301,1.8546269080396922,-1.5071771152463624,0
37,75 years or over,Croatia,Females,Tertiary education (levels 5-8),-0.05731072963305801,1.5778794535097267,-1.686247317691178,0
38,75 years or over,Croatia,Females,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),-0.3139295484607916,1.486265533371637,-1.168722960759136,0
42,75 years or over,Croatia,Males,"Less than primary, primary and lower secondary education (levels 0-2)",0.2981132393613912,1.2211408240690564,-1.4339176463939727,0
43,75 years or over,Croatia,Males,Tertiary education (levels 5-8),1.01189581822922,0.3460741562897103,-1.174696964082856,1
44,75 years or over,Croatia,Males,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.7194768254084359,0.4949276399612347,-0.8844266637956192,1
48,75 years or over,Cyprus,Females,"Less than primary, primary and lower secondary education (levels 0-2)",-1.558697218139013,2.1436685425515627,-1.6427355039183749,0
49,75 years or over,Cyprus,Females,Tertiary education (levels 5-8),-1.9439920912916566,-2.428056151860982,-2.3527713147426024,1
