;age;geo;sex;quant_inc;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
11;75 years or over;Austria;Males;First quintile;16.3;24.9;30.7;7.9;20.1;2
13;75 years or over;Austria;Males;Second quintile;20.3;26.7;41.0;3.2;8.8;2
14;75 years or over;Austria;Males;Third quintile;26.0;20.1;37.1;9.2;7.6;2
32;75 years or over;Belgium;Males;Fourth quintile;32.6;7.2;50.8;0.0;9.4;2
111;75 years or over;Czechia;Males;First quintile;14.1;17.0;34.0;13.3;21.6;2
113;75 years or over;Czechia;Males;Second quintile;18.0;15.8;33.3;9.1;23.9;2
121;75 years or over;Denmark;Females;First quintile;14.1;26.7;32.7;11.9;14.6;2
123;75 years or over;Denmark;Females;Second quintile;24.0;18.6;32.6;14.7;10.1;2
131;75 years or over;Denmark;Males;First quintile;33.6;14.5;40.6;2.4;8.8;2
133;75 years or over;Denmark;Males;Second quintile;30.0;11.2;45.8;9.9;3.1;2
165;75 years or over;Finland;Males;Fifth quintile;7.2;21.2;53.0;13.8;4.8;2
167;75 years or over;Finland;Males;Fourth quintile;14.6;18.5;33.5;7.7;25.8;2
169;75 years or over;Finland;Males;Third quintile;4.8;16.6;41.2;13.9;23.5;2
180;75 years or over;Germany;Females;Fifth quintile;16.0;20.0;34.3;14.6;15.0;2
182;75 years or over;Germany;Females;Fourth quintile;9.6;19.2;30.5;13.5;27.2;2
190;75 years or over;Germany;Males;Fifth quintile;32.3;15.5;41.2;4.9;6.1;2
191;75 years or over;Germany;Males;First quintile;25.0;21.9;29.8;7.3;16.0;2
192;75 years or over;Germany;Males;Fourth quintile;31.8;18.7;39.8;3.9;5.8;2
193;75 years or over;Germany;Males;Second quintile;19.2;18.7;41.8;9.0;11.3;2
194;75 years or over;Germany;Males;Third quintile;20.6;16.6;41.9;8.3;12.6;2
272;75 years or over;Ireland;Males;Fourth quintile;5.5;14.6;39.9;3.4;36.7;2
330;75 years or over;Luxembourg;Males;Fifth quintile;44.0;4.9;46.2;0.0;4.9;2
334;75 years or over;Luxembourg;Males;Third quintile;28.5;18.1;44.9;0.0;8.5;2
372;75 years or over;Norway;Females;Fourth quintile;18.2;31.7;35.3;0.0;14.7;2
382;75 years or over;Norway;Males;Fourth quintile;5.7;31.4;48.9;0.0;14.0;2
384;75 years or over;Norway;Males;Third quintile;9.7;18.9;37.1;0.0;34.3;2
492;75 years or over;Slovenia;Males;Fourth quintile;22.6;0.0;43.6;20.7;13.1;2
534;75 years or over;Sweden;Males;Third quintile;10.6;17.7;43.3;9.0;19.3;2
565;75 years or over;United Kingdom;Males;Fifth quintile;36.2;3.9;43.8;7.7;8.5;2
567;75 years or over;United Kingdom;Males;Fourth quintile;26.1;10.4;41.7;8.8;13.0;2
568;75 years or over;United Kingdom;Males;Second quintile;17.0;10.7;34.2;16.1;22.0;2
569;75 years or over;United Kingdom;Males;Third quintile;24.1;10.1;40.1;8.3;17.5;2
582;From 15 to 24 years;Austria;Males;Fourth quintile;0.0;36.4;51.5;8.5;3.6;2
592;From 15 to 24 years;Belgium;Females;Fourth quintile;0.0;30.9;47.1;7.4;14.6;2
600;From 15 to 24 years;Belgium;Males;Fifth quintile;2.7;23.4;42.7;16.7;14.5;2
602;From 15 to 24 years;Belgium;Males;Fourth quintile;1.9;30.2;46.6;5.8;15.4;2
603;From 15 to 24 years;Belgium;Males;Second quintile;3.6;20.4;56.4;4.4;15.2;2
604;From 15 to 24 years;Belgium;Males;Third quintile;0.0;17.5;54.4;6.1;22.0;2
660;From 15 to 24 years;Cyprus;Males;Fifth quintile;0.0;22.9;35.4;7.0;34.6;2
680;From 15 to 24 years;Czechia;Males;Fifth quintile;7.4;10.0;61.1;1.1;20.4;2
681;From 15 to 24 years;Czechia;Males;First quintile;3.4;27.8;35.9;17.0;16.0;2
682;From 15 to 24 years;Czechia;Males;Fourth quintile;0.0;18.6;57.0;14.1;10.3;2
684;From 15 to 24 years;Czechia;Males;Third quintile;3.2;28.3;42.6;11.0;14.9;2
700;From 15 to 24 years;Denmark;Males;Fifth quintile;2.2;37.0;45.7;6.5;8.7;2
760;From 15 to 24 years;Germany;Males;Fifth quintile;1.6;31.9;42.6;5.6;18.3;2
761;From 15 to 24 years;Germany;Males;First quintile;0.9;29.5;37.8;14.7;17.1;2
762;From 15 to 24 years;Germany;Males;Fourth quintile;0.9;26.1;44.3;14.4;14.3;2
764;From 15 to 24 years;Germany;Males;Third quintile;1.8;32.1;38.2;14.0;13.9;2
774;From 15 to 24 years;Greece;Females;Third quintile;0.0;20.1;43.3;9.9;26.8;2
780;From 15 to 24 years;Greece;Males;Fifth quintile;0.0;29.7;44.3;1.6;24.4;2
782;From 15 to 24 years;Greece;Males;Fourth quintile;0.0;20.5;39.1;10.9;29.5;2
784;From 15 to 24 years;Greece;Males;Third quintile;1.0;39.5;41.2;3.7;14.7;2
840;From 15 to 24 years;Ireland;Males;Fifth quintile;0.0;24.7;40.3;3.7;31.4;2
844;From 15 to 24 years;Ireland;Males;Third quintile;0.0;34.5;38.0;7.3;20.2;2
910;From 15 to 24 years;Malta;Females;Fifth quintile;0.0;23.8;50.1;8.4;17.8;2
920;From 15 to 24 years;Malta;Males;Fifth quintile;2.6;30.0;60.7;2.1;4.7;2
921;From 15 to 24 years;Malta;Males;First quintile;0.0;28.7;38.4;10.7;22.3;2
922;From 15 to 24 years;Malta;Males;Fourth quintile;4.3;25.0;50.0;13.8;6.9;2
923;From 15 to 24 years;Malta;Males;Second quintile;1.5;30.0;42.2;3.7;22.6;2
