;age;geo;sex;quant_inc;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
0;75 years or over;Austria;Females;Fifth quintile;27.4;25.8;46.8;3
1;75 years or over;Austria;Females;First quintile;24.6;34.5;41.0;2
2;75 years or over;Austria;Females;Fourth quintile;41.1;37.2;21.7;0
3;75 years or over;Austria;Females;Second quintile;13.299999999999999;40.3;46.400000000000006;2
4;75 years or over;Austria;Females;Third quintile;20.5;36.5;43.0;2
10;75 years or over;Austria;Males;Fifth quintile;39.0;16.8;44.2;0
11;75 years or over;Austria;Males;First quintile;47.0;20.1;32.8;0
12;75 years or over;Austria;Males;Fourth quintile;60.1;12.3;27.5;0
13;75 years or over;Austria;Males;Second quintile;61.3;8.8;29.9;0
14;75 years or over;Austria;Males;Third quintile;63.1;7.6;29.3;0
20;75 years or over;Belgium;Females;Fifth quintile;52.4;29.3;18.3;0
21;75 years or over;Belgium;Females;First quintile;28.700000000000003;45.0;26.4;2
22;75 years or over;Belgium;Females;Fourth quintile;48.2;27.0;24.8;0
23;75 years or over;Belgium;Females;Second quintile;30.1;50.8;19.1;2
24;75 years or over;Belgium;Females;Third quintile;42.8;23.2;34.0;0
30;75 years or over;Belgium;Males;Fifth quintile;75.4;3.4;21.3;0
31;75 years or over;Belgium;Males;First quintile;38.5;44.4;17.0;2
32;75 years or over;Belgium;Males;Fourth quintile;83.4;9.4;7.2;0
33;75 years or over;Belgium;Males;Second quintile;45.8;33.5;20.6;0
34;75 years or over;Belgium;Males;Third quintile;59.099999999999994;14.0;26.9;0
41;75 years or over;Bulgaria;Females;First quintile;7.6000000000000005;69.5;22.9;1
42;75 years or over;Bulgaria;Females;Fourth quintile;4.8;72.0;23.2;1
43;75 years or over;Bulgaria;Females;Second quintile;6.9;69.3;23.8;1
44;75 years or over;Bulgaria;Females;Third quintile;6.3999999999999995;60.9;32.7;1
51;75 years or over;Bulgaria;Males;First quintile;25.700000000000003;52.4;21.9;2
52;75 years or over;Bulgaria;Males;Fourth quintile;24.299999999999997;45.2;30.5;2
53;75 years or over;Bulgaria;Males;Second quintile;34.1;43.6;22.4;2
54;75 years or over;Bulgaria;Males;Third quintile;27.7;36.8;35.5;2
60;75 years or over;Croatia;Females;Fifth quintile;22.5;69.3;8.3;1
61;75 years or over;Croatia;Females;First quintile;8.3;72.1;19.6;1
62;75 years or over;Croatia;Females;Fourth quintile;15.9;57.2;26.900000000000002;1
63;75 years or over;Croatia;Females;Second quintile;22.8;65.4;11.799999999999999;1
64;75 years or over;Croatia;Females;Third quintile;20.3;65.2;14.5;1
70;75 years or over;Croatia;Males;Fifth quintile;57.5;37.1;5.4;0
71;75 years or over;Croatia;Males;First quintile;33.9;56.3;9.8;1
72;75 years or over;Croatia;Males;Fourth quintile;42.1;38.4;19.4;0
73;75 years or over;Croatia;Males;Second quintile;50.7;35.4;14.0;0
74;75 years or over;Croatia;Males;Third quintile;42.5;35.3;22.2;0
81;75 years or over;Cyprus;Females;First quintile;0.0;92.9;7.1;1
82;75 years or over;Cyprus;Females;Fourth quintile;18.2;71.5;10.3;1
83;75 years or over;Cyprus;Females;Second quintile;4.5;84.9;10.6;1
84;75 years or over;Cyprus;Females;Third quintile;1.9;83.7;14.5;1
90;75 years or over;Cyprus;Males;Fifth quintile;26.3;45.6;28.1;2
91;75 years or over;Cyprus;Males;First quintile;25.9;47.9;26.1;2
92;75 years or over;Cyprus;Males;Fourth quintile;27.6;48.8;23.6;2
93;75 years or over;Cyprus;Males;Second quintile;28.5;39.8;31.8;2
94;75 years or over;Cyprus;Males;Third quintile;28.7;41.0;30.299999999999997;2
101;75 years or over;Czechia;Females;First quintile;9.5;51.5;39.0;2
102;75 years or over;Czechia;Females;Fourth quintile;18.5;35.2;46.3;2
103;75 years or over;Czechia;Females;Second quintile;13.2;40.1;46.7;2
104;75 years or over;Czechia;Females;Third quintile;18.799999999999997;39.2;42.0;2
111;75 years or over;Czechia;Males;First quintile;48.1;21.6;30.3;0
112;75 years or over;Czechia;Males;Fourth quintile;54.9;10.4;34.8;0
113;75 years or over;Czechia;Males;Second quintile;51.3;23.9;24.9;0
114;75 years or over;Czechia;Males;Third quintile;58.3;16.7;25.1;0
121;75 years or over;Denmark;Females;First quintile;46.800000000000004;14.6;38.6;0
123;75 years or over;Denmark;Females;Second quintile;56.6;10.1;33.3;0
131;75 years or over;Denmark;Males;First quintile;74.2;8.8;16.9;0
133;75 years or over;Denmark;Males;Second quintile;75.8;3.1;21.1;0
134;75 years or over;Denmark;Males;Third quintile;81.0;0.0;19.0;0
141;75 years or over;Estonia;Females;First quintile;0.0;67.5;32.6;1
143;75 years or over;Estonia;Females;Second quintile;0.0;56.0;44.1;2
144;75 years or over;Estonia;Females;Third quintile;0.0;48.3;51.6;2
151;75 years or over;Estonia;Males;First quintile;7.0;28.1;64.9;3
153;75 years or over;Estonia;Males;Second quintile;17.4;31.8;50.7;2
160;75 years or over;Finland;Females;Fifth quintile;30.5;16.2;53.3;3
161;75 years or over;Finland;Females;First quintile;8.8;58.3;33.0;1
