;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
0;75 years or over;Austria;Females;Cities;9.1;17.7;17.8;19.8;35.7;4
13;75 years or over;Belgium;Females;Rural areas;12.9;5.6;19.9;7.0;54.6;4
14;75 years or over;Belgium;Females;Towns and suburbs;13.7;5.1;16.4;19.3;45.5;4
19;75 years or over;Belgium;Males;Rural areas;20.6;10.3;20.6;5.7;42.8;4
24;75 years or over;Bulgaria;Females;Cities;1.5;14.4;2.9;15.2;66.0;4
25;75 years or over;Bulgaria;Females;Rural areas;4.1;13.0;7.4;9.8;65.7;4
26;75 years or over;Bulgaria;Females;Towns and suburbs;0.0;11.4;3.7;17.1;67.8;4
30;75 years or over;Bulgaria;Males;Cities;7.3;27.2;16.2;10.3;39.0;4
31;75 years or over;Bulgaria;Males;Rural areas;15.3;18.2;14.9;5.8;45.8;4
32;75 years or over;Bulgaria;Males;Towns and suburbs;13.8;21.3;14.9;7.5;42.5;4
36;75 years or over;Croatia;Females;Cities;8.9;8.3;12.7;9.8;60.4;4
37;75 years or over;Croatia;Females;Rural areas;6.7;6.8;6.6;5.4;74.6;4
38;75 years or over;Croatia;Females;Towns and suburbs;8.6;6.7;8.7;7.7;68.2;4
48;75 years or over;Cyprus;Females;Cities;0.7;8.9;5.5;9.0;76.0;4
49;75 years or over;Cyprus;Females;Rural areas;0.0;3.4;0.0;2.0;94.7;4
50;75 years or over;Cyprus;Females;Towns and suburbs;2.7;2.7;0.0;3.7;90.9;4
54;75 years or over;Cyprus;Males;Cities;14.7;16.0;13.3;9.3;46.8;4
56;75 years or over;Cyprus;Males;Towns and suburbs;9.5;20.9;18.6;5.4;45.5;4
60;75 years or over;Czechia;Females;Cities;2.5;21.9;9.7;29.4;36.5;4
61;75 years or over;Czechia;Females;Rural areas;2.1;16.9;12.8;19.8;48.4;4
62;75 years or over;Czechia;Females;Towns and suburbs;3.9;19.8;12.9;23.4;39.9;4
84;75 years or over;Estonia;Females;Cities;0.0;5.4;1.1;40.1;53.4;4
85;75 years or over;Estonia;Females;Rural areas;0.8;6.4;1.3;36.8;54.8;4
86;75 years or over;Estonia;Females;Towns and suburbs;0.0;3.0;0.0;27.6;69.3;4
97;75 years or over;Finland;Females;Rural areas;0.0;15.3;8.3;19.4;57.0;4
98;75 years or over;Finland;Females;Towns and suburbs;2.2;22.5;11.2;19.5;44.7;4
120;75 years or over;Greece;Females;Cities;4.6;10.9;5.1;11.8;67.6;4
121;75 years or over;Greece;Females;Rural areas;1.2;9.9;6.4;9.3;73.1;4
122;75 years or over;Greece;Females;Towns and suburbs;5.0;8.6;4.7;10.4;71.2;4
