;age;geo;sex;isced11;Frequent drinkers;Non-drinkers;Occasional drinkers
0;75 years or over;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);17.3;43.1;39.6
1;75 years or over;Austria;Females;Tertiary education (levels 5-8);24.3;33.2;42.5
2;75 years or over;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);31.5;25.3;43.2
6;75 years or over;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);67.2;12.4;20.299999999999997
7;75 years or over;Austria;Males;Tertiary education (levels 5-8);55.3;5.8;38.9
8;75 years or over;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);49.099999999999994;17.2;33.699999999999996
12;75 years or over;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);31.8;46.5;21.7
13;75 years or over;Belgium;Females;Tertiary education (levels 5-8);39.9;21.1;39.0
14;75 years or over;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);46.599999999999994;27.5;26.0
18;75 years or over;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);54.599999999999994;30.4;15.0
19;75 years or over;Belgium;Males;Tertiary education (levels 5-8);82.4;5.9;11.7
20;75 years or over;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);55.6;17.0;27.4
24;75 years or over;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);7.7;65.7;26.6
25;75 years or over;Bulgaria;Females;Tertiary education (levels 5-8);2.3;73.8;24.0
26;75 years or over;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.299999999999999;64.6;27.2
30;75 years or over;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);26.5;48.5;25.0
31;75 years or over;Bulgaria;Males;Tertiary education (levels 5-8);22.4;47.7;30.0
32;75 years or over;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);33.5;28.3;38.2
36;75 years or over;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);13.2;73.9;13.0
37;75 years or over;Croatia;Females;Tertiary education (levels 5-8);26.700000000000003;63.2;10.1
38;75 years or over;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.4;59.9;18.6
42;75 years or over;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);34.8;51.0;14.2
43;75 years or over;Croatia;Males;Tertiary education (levels 5-8);53.6;27.9;18.5
