;Unnamed: 0;frequenc;isced11;sex;age;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG;frequenc_simplified
123;123;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Austria;2014;0.0;;Frequent drinkers
124;124;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Austria;2019;0.0;;Frequent drinkers
125;125;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Belgium;2014;0.0;u;Frequent drinkers
126;126;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Belgium;2019;0.0;;Frequent drinkers
127;127;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Bulgaria;2014;0.0;;Frequent drinkers
128;128;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Bulgaria;2019;0.0;;Frequent drinkers
129;129;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Cyprus;2014;0.0;;Frequent drinkers
130;130;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Cyprus;2019;0.0;;Frequent drinkers
131;131;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Czechia;2014;0.0;;Frequent drinkers
132;132;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Czechia;2019;0.0;;Frequent drinkers
133;133;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Germany;2014;0.4;;Frequent drinkers
134;134;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Germany;2019;0.0;;Frequent drinkers
135;135;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Denmark;2014;0.0;;Frequent drinkers
136;136;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Denmark;2019;0.0;;Frequent drinkers
137;137;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Estonia;2014;0.0;;Frequent drinkers
138;138;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Estonia;2019;0.0;;Frequent drinkers
139;139;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Greece;2014;0.0;;Frequent drinkers
140;140;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Greece;2019;0.0;;Frequent drinkers
141;141;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Spain;2014;0.0;;Frequent drinkers
142;142;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Spain;2019;0.5;;Frequent drinkers
146;146;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Finland;2014;0.0;;Frequent drinkers
147;147;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;France;2019;0.3;;Frequent drinkers
148;148;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Croatia;2014;0.0;;Frequent drinkers
149;149;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Croatia;2019;0.0;;Frequent drinkers
150;150;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Hungary;2014;0.0;;Frequent drinkers
151;151;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Hungary;2019;0.7;;Frequent drinkers
152;152;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Ireland;2014;0.0;;Frequent drinkers
153;153;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Ireland;2019;0.0;;Frequent drinkers
154;154;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Iceland;2014;0.5;;Frequent drinkers
155;155;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Iceland;2019;0.3;;Frequent drinkers
158;158;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Lithuania;2014;0.0;;Frequent drinkers
159;159;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Lithuania;2019;0.0;;Frequent drinkers
160;160;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Luxembourg;2014;0.0;;Frequent drinkers
161;161;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Luxembourg;2019;1.1;;Frequent drinkers
162;162;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Latvia;2014;0.0;;Frequent drinkers
163;163;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Latvia;2019;0.0;;Frequent drinkers
164;164;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Malta;2014;0.0;;Frequent drinkers
165;165;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Malta;2019;0.8;;Frequent drinkers
166;166;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Netherlands;2019;0.5;;Frequent drinkers
167;167;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Norway;2014;0.0;;Frequent drinkers
168;168;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Norway;2019;0.0;;Frequent drinkers
169;169;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Poland;2014;0.0;;Frequent drinkers
170;170;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Poland;2019;0.0;;Frequent drinkers
171;171;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Portugal;2014;0.0;;Frequent drinkers
172;172;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Portugal;2019;0.0;;Frequent drinkers
173;173;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Romania;2014;0.0;;Frequent drinkers
174;174;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Romania;2019;0.0;;Frequent drinkers
175;175;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Serbia;2019;0.0;u;Frequent drinkers
176;176;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Sweden;2014;0.0;;Frequent drinkers
177;177;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Sweden;2019;0.0;;Frequent drinkers
178;178;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Slovenia;2014;0.0;;Frequent drinkers
179;179;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Slovenia;2019;0.4;;Frequent drinkers
180;180;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Slovakia;2014;0.0;;Frequent drinkers
181;181;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Slovakia;2019;0.0;;Frequent drinkers
182;182;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Türkiye;2014;0.0;;Frequent drinkers
183;183;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;Türkiye;2019;0.0;;Frequent drinkers
184;184;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 15 to 24 years;United Kingdom;2014;0.0;;Frequent drinkers
586;586;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Austria;2014;0.0;;Frequent drinkers
587;587;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Austria;2019;0.0;;Frequent drinkers
588;588;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Belgium;2014;1.4;u;Frequent drinkers
589;589;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Belgium;2019;0.4;u;Frequent drinkers
590;590;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Bulgaria;2014;0.0;;Frequent drinkers
591;591;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Bulgaria;2019;0.0;;Frequent drinkers
592;592;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Cyprus;2014;0.0;u;Frequent drinkers
593;593;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Cyprus;2019;0.0;u;Frequent drinkers
595;595;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Czechia;2019;0.0;u;Frequent drinkers
596;596;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Germany;2014;2.2;;Frequent drinkers
597;597;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Germany;2019;4.0;u;Frequent drinkers
600;600;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Estonia;2014;0.0;;Frequent drinkers
601;601;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Estonia;2019;0.0;u;Frequent drinkers
602;602;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Greece;2014;0.0;;Frequent drinkers
603;603;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Greece;2019;3.5;u;Frequent drinkers
604;604;Every day;Less than primary, primary and lower secondary education (levels 0-2);Females;From 25 to 34 years;Spain;2014;1.5;;Frequent drinkers
